fid,in_atuacao,in_id,in_iptu_pr,in_situac,in_sql,in_tipolog,CEPEUC_SETOR_QUADRA_LOTE,CEPEUC_TIPOLOGIA,CEPEUC_LOGRADOURO,CEPEUC_N,CEPEUC_COND.,CEPEUC_SUBPREFEITURA,CEPEUC_PERIMETRO,CEPEUC_AREA_DO_TERRENO,CEPEUC_AREA_CONTRUÍDA,CEPEUC_DATA_DA_NOTIFICAÇAO,CEPEUC_IDENTIFICAÇÃO_DO_INSTRUMENTO,CEPEUC_SITUAÇAO_DO_IMOVEL,CEPEUC_SOLICITACAO_DA_AVERBACAO,CEPEUC_DATA_INICIAL_DA_APLICAÇÃO,CEPEUC_DATA_PROTOCOLO_APROVACAO_E_EXECUCAO_PROJETO_OU_EQUIVALENTE,CEPEUC_DATA_EXPEDICAO_ALVARA_APROVACAO_E_EXECUCAO,CEPEUC_BASE_DECAD2018,CEPEUC_DATA_1_APLICACAO_DA_ALIQUOTA_PROGRESSIVA,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2016,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2017,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2018,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2019,CEPEUC_DATA DA PUBLICACAO_DECRETO_DE_DESAPROPRIACAO,CEPEUC_DATA_DA_PROPOSITURA_DEACAO_DE_DESAPROPRIACAO,CEPEUC_DESTINACAO_DO_IMOVEL,CEPEUC_JUSTIFICATIVA_AUSENCIA_INTERESSE_NA_AQUISICAO
"1",SUBPREFEITURA SÉ,"1",NÃO,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0010030088",NAO UTILIZADO,"0010030088",NÃO UTILIZADO,AV TIRADENTES,"188",,SPSE,SUBPREFEITURA SÉ,"1374","2677",2016/10/06,PEUC,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"-",2016/10/06,"-","-",,"-","-","-","-","-","-","-","-","-"
"2",SUBPREFEITURA SÉ,"2",NÃO,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0010030089",SUBUTILIZADO,"0010030089",SUBUTILIZADO,R DUTRA RODRIGUES,"77",,SPSE,SUBPREFEITURA SÉ,"8800","10109",2016/10/06,PEUC,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"-",2016/10/06,2002/07/16,2014/10/08,,"-","-","-","-","-","-","-","-","-"
"3",SUBPREFEITURA SÉ/ZEIS 3,"3",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010110067",NAO UTILIZADO,"0010110067",NÃO UTILIZADO,R VINTE E CINCO DE JANEIRO,"59",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"796","1000",2015/09/29,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2015/09/29,"-","-",,"-","-","-","-","-","-","-","-","-"
"4",OU CENTRO,"4",NÃO,NOTIFICADO,"0010200010",NAO EDIFICADO,"0010200010",NÃO EDIFICADO,R BRIG TOBIAS,"99999",NÃO,SPSE,OU CENTRO,"4522","0",2015/10/16,PEUC,NOTIFICADO,AVERBADO,2015/10/16,"-","-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"5",OU CENTRO,"5",NÃO,NOTIFICADO,"0010200040",NAO EDIFICADO,"0010200040",NÃO EDIFICADO,AV CASPER LIBERO,"00604",NÃO,SPSE,OU CENTRO,"210","180",2015/10/16,PEUC,NOTIFICADO,"-",2015/10/16,"-","-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"6",OU CENTRO,"6",NÃO,NOTIFICADO,"0010200041",NAO EDIFICADO,"0010200041",NÃO EDIFICADO,AV CASPER LIBERO,"99999",NÃO,SPSE,OU CENTRO,"252","0",2015/10/16,PEUC,NOTIFICADO,AVERBADO,2015/10/16,"-","-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"7",OU CENTRO,"7",NÃO,NOTIFICADO,"0010200042",NAO EDIFICADO,"0010200042",NÃO EDIFICADO,AV CASPER LIBERO,"99999",NÃO,SPSE,OU CENTRO,"471","0",2015/10/16,PEUC,NOTIFICADO,AVERBADO,2015/10/16,"-","-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"8",OU CENTRO,"8",NÃO,NOTIFICADO,"0010200481",NAO EDIFICADO,"0010200481",NÃO EDIFICADO,AV CASPER LIBERO,"99999",NÃO,SPSE,OU CENTRO,"807","0",2015/10/16,PEUC,NOTIFICADO,AVERBADO,2015/10/16,"-","-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"9",OU CENTRO/ZEIS 3,"9",NÃO,NOTIFICADO,"0010220023",SUBUTILIZADO,"0010220023",SUBUTILIZADO,R FLORENCIO DE ABREU,"741",NÃO,SPSE,OU CENTRO / ZEIS 3,"20365","90",2015/05/07,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2015/05/07,2015/12/16,"-",,"-","-","-","-","-","-","-","-","-"
"10",OU CENTRO,"10",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010230189",NAO UTILIZADO,"0010230189",NÃO UTILIZADO,R FLORENCIO DE ABREU,"730","-",SPSE,OU CENTRO,"260","920",2015/02/11,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/02/11,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
